,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vADP,Yahoo!vFP,Round,Pick
,Tua Tagovailoa,MIA,11,QB,128,125,122,-0.05,-0.02,,122
,Trevor Lawrence,JAC,11,QB,151,135,123,-0.19,-0.09,,123
,Chase Claypool,PIT,9,WR,108,116,124,0.15,0.07,,124
,Tyler Boyd,CIN,10,WR,126,121,125,-0.01,0.03,,125
,Kenneth Gainwell,PHI,7,RB,135,120,126,-0.07,0.05,,126
,Khalil Herbert,CHI,14,RB,144,136,127,-0.12,-0.07,,127
,David Njoku,CLE,9,TE,156,144,128,-0.18,-0.11,,128
,Hunter Henry,NE,10,TE,163,124,129,-0.21,0.04,,129
,Rachaad White,TB,11,RB,130,153,130,0.00,-0.15,,130
,Daniel Jones,NYG,9,QB,223,164,131,-0.41,-0.20,,131
,Irv Smith,MIN,7,TE,155,134,132,-0.15,-0.01,,132
,Tyler Higbee,LAR,7,TE,195,156,134,-0.31,-0.14,12,133
,DeVante Parker,NE,10,WR,140,133,135,-0.04,0.02,,134
,Mike Gesicki,MIA,11,TE,110,127,136,0.24,0.07,,135
,J.D. McKissic,WAS,14,RB,149,131,137,-0.08,0.05,,136
,Marquez Valdes-Scantling,KC,8,WR,129,129,138,0.07,0.07,,137
,Matt Ryan,IND,14,QB,161,149,139,-0.14,-0.07,,138
